NAME                                                                                 VERSION                                   TYPE      
golang.org/x/time                                                                    v0.10.0                                   go-module  
golang.org/x/xerrors                                                                 v0.0.0-20240716161551-93cc26a95ae9        go-module  
google.golang.org/api                                                                v0.218.0                                  go-module  
google.golang.org/genproto                                                           v0.0.0-20241118233622-e639e219e697        go-module  
google.golang.org/genproto/googleapis/api                                            v0.0.0-20250115164207-1a7da9e5054f        go-module  
google.golang.org/genproto/googleapis/rpc                                            v0.0.0-20250115164207-1a7da9e5054f        go-module  
google.golang.org/grpc                                                               v1.70.0                                   go-module  
google.golang.org/protobuf                                                           v1.36.5                                   go-module  
gopkg.in/cheggaaa/pb.v1                                                              v1.0.28                                   go-module  
gopkg.in/evanphx/json-patch.v4                                                       v4.12.0                                   go-module  
gopkg.in/inf.v0                                                                      v0.9.1                                    go-module  
gopkg.in/warnings.v0                                                                 v0.1.2                                    go-module  
gopkg.in/yaml.v3                                                                     v3.0.1                                    go-module  
helm.sh/helm/v3                                                                      v3.17.2                                   go-module  
k8s.io/api                                                                           v0.32.3                                   go-module  
k8s.io/apiextensions-apiserver                                                       v0.32.2                                   go-module  
k8s.io/apimachinery                                                                  v0.32.3                                   go-module  
k8s.io/apiserver                                                                     v0.32.2                                   go-module  
k8s.io/cli-runtime                                                                   v0.32.3                                   go-module  
k8s.io/client-go                                                                     v0.32.3                                   go-module  
k8s.io/component-base                                                                v0.32.3                                   go-module  
k8s.io/klog/v2                                                                       v2.130.1                                  go-module  
k8s.io/kube-openapi                                                                  v0.0.0-20241105132330-32ad38e42d3f        go-module  
k8s.io/kubectl                                                                       v0.32.3                                   go-module  
k8s.io/utils                                                                         v0.0.0-20241104100929-3ea5e8cea738        go-module  
libcrypto3                                                                           3.3.3-r0                                  apk        
libcurl                                                                              8.12.1-r1                                 apk        
libexpat                                                                             2.7.0-r0                                  apk        
libidn2                                                                              2.3.7-r0                                  apk        
libpsl                                                                               0.21.5-r3                                 apk        
libssl3                                                                              3.3.3-r0                                  apk        
libunistring                                                                         1.2-r0                                    apk        
modernc.org/libc                                                                     v1.61.13                                  go-module  
modernc.org/mathutil                                                                 v1.7.1                                    go-module  
modernc.org/memory                                                                   v1.8.2                                    go-module  
modernc.org/sqlite                                                                   v1.36.1                                   go-module  
musl                                                                                 1.2.5-r9                                  apk        
musl-utils                                                                           1.2.5-r9                                  apk        
mvdan.cc/sh/v3                                                                       v3.11.0                                   go-module  
nghttp2-libs                                                                         1.64.0-r0                                 apk        
oras.land/oras-go                                                                    v1.2.5                                    go-module  
pcre2                                                                                10.43-r0                                  apk        
scanelf                                                                              1.3.8-r1                                  apk        
sigs.k8s.io/json                                                                     v0.0.0-20241010143419-9aa6b5e7a4b3        go-module  
sigs.k8s.io/kustomize/api                                                            v0.18.0                                   go-module  
sigs.k8s.io/kustomize/kyaml                                                          v0.18.1                                   go-module  
sigs.k8s.io/structured-merge-diff/v4                                                 v4.4.2                                    go-module  
sigs.k8s.io/yaml                                                                     v1.4.0                                    go-module  
ssl_client                                                                           1.37.0-r12                                apk        
